symbol,date,open,high,low,close,volume
NARMADA,2021-09-30,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-01,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-04,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-05,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-06,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-07,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-08,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-11,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-12,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-13,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-14,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-18,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-19,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-20,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-21,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-22,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-25,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-26,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-27,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-28,13.5,13.5,13.5,13.5,0
NARMADA,2021-10-29,14.1,14.15,14.1,14.15,14400
NARMADA,2021-11-01,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-02,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-03,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-04,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-08,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-09,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-10,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-11,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-12,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-15,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-16,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-17,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-18,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-22,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-23,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-24,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-25,14.15,14.15,14.15,14.15,0
NARMADA,2021-11-26,13.1,13.1,13.1,13.1,14400
NARMADA,2021-11-29,13.1,13.1,13.1,13.1,14400
NARMADA,2021-11-30,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-01,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-02,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-03,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-06,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-07,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-08,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-09,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-10,13.1,13.1,13.1,13.1,0
NARMADA,2021-12-13,13.75,13.75,12.9,12.9,21600
NARMADA,2021-12-14,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-15,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-16,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-17,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-20,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-21,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-22,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-23,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-24,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-27,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-28,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-29,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-30,12.9,12.9,12.9,12.9,0
NARMADA,2021-12-31,12.9,12.9,12.9,12.9,0
NARMADA,2022-01-03,12.9,12.9,12.9,12.9,0
NARMADA,2022-01-04,13.0,13.0,13.0,13.0,7200
NARMADA,2022-01-05,13.0,13.0,13.0,13.0,7200
NARMADA,2022-01-06,13.0,13.0,13.0,13.0,0
NARMADA,2022-01-07,13.0,13.0,13.0,13.0,0
NARMADA,2022-01-10,13.0,13.0,13.0,13.0,0
NARMADA,2022-01-11,13.0,13.0,13.0,13.0,0
NARMADA,2022-01-12,12.35,12.35,12.35,12.35,7200
NARMADA,2022-01-13,12.35,12.35,12.35,12.35,0
NARMADA,2022-01-14,12.95,12.95,12.95,12.95,7200
NARMADA,2022-01-17,13.45,13.45,13.45,13.45,14400
NARMADA,2022-01-18,13.8,13.8,13.8,13.8,7200
NARMADA,2022-01-19,13.8,13.8,13.8,13.8,0
NARMADA,2022-01-20,13.8,13.8,13.8,13.8,0
NARMADA,2022-01-21,13.8,13.8,13.8,13.8,0
NARMADA,2022-01-24,13.8,13.8,13.8,13.8,0
NARMADA,2022-01-25,13.8,13.8,13.8,13.8,0
NARMADA,2022-01-27,13.5,13.5,13.5,13.5,7200
NARMADA,2022-01-28,13.8,13.8,13.8,13.8,14400
NARMADA,2022-01-31,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-01,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-02,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-03,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-04,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-07,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-08,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-09,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-10,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-11,13.8,13.8,13.8,13.8,0
NARMADA,2022-02-14,14.0,14.0,14.0,14.0,14400
NARMADA,2022-02-15,14.0,14.0,14.0,14.0,0
NARMADA,2022-02-16,14.0,14.0,14.0,14.0,0
NARMADA,2022-02-17,14.0,14.0,14.0,14.0,0
NARMADA,2022-02-18,14.5,14.5,14.5,14.5,7200
NARMADA,2022-02-21,14.5,14.5,14.5,14.5,0
NARMADA,2022-02-22,14.5,14.5,14.5,14.5,0
NARMADA,2022-02-23,14.5,14.5,14.5,14.5,0
NARMADA,2022-02-24,14.5,14.5,14.5,14.5,0
NARMADA,2022-02-25,14.75,14.75,14.75,14.75,21600
NARMADA,2022-02-28,14.75,14.75,14.75,14.75,0
NARMADA,2022-03-02,15.45,15.45,15.45,15.45,7200
NARMADA,2022-03-03,16.2,16.2,15.45,15.45,14400
NARMADA,2022-03-04,16.2,16.2,16.2,16.2,7200
NARMADA,2022-03-07,17.0,17.0,17.0,17.0,36000
NARMADA,2022-03-08,17.5,17.5,17.5,17.5,14400
NARMADA,2022-03-09,16.65,18.0,16.65,18.0,36000
NARMADA,2022-03-10,17.1,18.0,17.1,18.0,43200
NARMADA,2022-03-11,18.0,18.0,18.0,18.0,7200
NARMADA,2022-03-14,18.0,18.0,18.0,18.0,0
NARMADA,2022-03-15,18.8,18.8,18.8,18.8,28800
NARMADA,2022-03-16,19.7,19.7,19.7,19.7,7200
NARMADA,2022-03-17,20.5,20.5,20.5,20.5,7200
NARMADA,2022-03-21,20.5,20.5,20.5,20.5,0
NARMADA,2022-03-22,20.5,20.5,19.5,19.95,115200
NARMADA,2022-03-23,19.0,20.0,19.0,20.0,64800
NARMADA,2022-03-24,19.25,19.5,19.25,19.4,79200
NARMADA,2022-03-25,18.45,19.9,18.45,19.5,79200
NARMADA,2022-03-28,19.5,20.1,19.4,20.1,100800
NARMADA,2022-03-29,20.1,20.1,20.1,20.1,0
NARMADA,2022-03-30,19.9,19.9,19.9,19.9,21600
NARMADA,2022-03-31,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-01,19.9,19.9,19.9,19.9,28800
NARMADA,2022-04-04,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-05,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-06,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-07,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-08,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-11,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-12,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-13,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-18,19.9,19.9,19.9,19.9,0
NARMADA,2022-04-19,19.0,19.0,19.0,19.0,7200
NARMADA,2022-04-20,19.0,19.95,19.0,19.95,14400
NARMADA,2022-04-21,20.75,20.75,20.75,20.75,7200
NARMADA,2022-04-22,20.75,20.75,20.75,20.75,0
NARMADA,2022-04-25,20.75,20.75,20.75,20.75,0
NARMADA,2022-04-26,20.95,20.95,20.95,20.95,7200
NARMADA,2022-04-27,21.95,21.95,20.0,21.95,50400
NARMADA,2022-04-28,21.95,21.95,21.95,21.95,7200
NARMADA,2022-04-29,22.25,22.25,22.25,22.25,7200
NARMADA,2022-05-02,22.25,22.25,22.25,22.25,0
NARMADA,2022-05-04,23.0,23.0,23.0,23.0,7200
NARMADA,2022-05-05,23.0,23.0,23.0,23.0,0
NARMADA,2022-05-06,23.5,23.5,23.5,23.5,7200
NARMADA,2022-05-09,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-10,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-11,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-12,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-13,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-16,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-17,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-18,23.5,23.5,23.5,23.5,0
NARMADA,2022-05-19,23.0,23.0,23.0,23.0,21600
NARMADA,2022-05-20,23.0,23.0,23.0,23.0,0
NARMADA,2022-05-23,23.0,23.0,23.0,23.0,0
NARMADA,2022-05-24,22.95,22.95,22.95,22.95,14400
NARMADA,2022-05-25,22.95,22.95,22.95,22.95,14400
NARMADA,2022-05-26,22.5,22.5,22.5,22.5,7200
NARMADA,2022-05-27,22.5,22.5,22.5,22.5,0
NARMADA,2022-05-30,22.5,22.5,22.5,22.5,0
NARMADA,2022-05-31,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-01,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-02,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-03,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-06,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-07,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-08,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-09,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-10,21.4,21.4,21.4,21.4,14400
NARMADA,2022-06-13,21.4,21.4,21.4,21.4,0
NARMADA,2022-06-14,21.4,21.4,21.4,21.4,0
NARMADA,2022-06-15,20.35,22.0,20.35,21.45,21600
NARMADA,2022-06-16,21.45,21.45,21.45,21.45,0
NARMADA,2022-06-17,22.5,22.5,22.5,22.5,64800
NARMADA,2022-06-20,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-21,22.5,22.5,22.5,22.5,0
NARMADA,2022-06-22,23.0,23.0,23.0,23.0,7200
NARMADA,2022-06-23,23.0,23.0,23.0,23.0,0
NARMADA,2022-06-24,23.0,23.0,23.0,23.0,0
NARMADA,2022-06-27,23.0,23.0,23.0,23.0,0
NARMADA,2022-06-28,23.0,23.0,23.0,23.0,0
NARMADA,2022-06-29,23.0,23.0,23.0,23.0,0
NARMADA,2022-06-30,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-01,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-04,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-05,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-06,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-07,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-08,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-11,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-12,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-13,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-14,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-15,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-18,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-19,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-20,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-21,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-22,23.0,23.0,23.0,23.0,0
NARMADA,2022-07-25,24.0,24.0,24.0,24.0,21600
NARMADA,2022-07-26,24.0,24.0,24.0,24.0,0
NARMADA,2022-07-27,24.0,24.0,24.0,24.0,0
NARMADA,2022-07-28,24.0,24.0,24.0,24.0,0
NARMADA,2022-07-29,24.0,24.0,24.0,24.0,0
NARMADA,2022-08-01,23.95,25.0,23.95,24.8,36000
NARMADA,2022-08-02,24.8,24.8,24.8,24.8,0
NARMADA,2022-08-03,24.8,24.8,24.8,24.8,0
NARMADA,2022-08-04,26.0,26.0,23.6,25.0,57600
NARMADA,2022-08-05,24.05,24.05,23.75,23.75,28800
NARMADA,2022-08-08,23.75,23.75,23.75,23.75,0
NARMADA,2022-08-10,23.75,23.75,23.75,23.75,0
NARMADA,2022-08-11,23.75,23.75,23.75,23.75,0
NARMADA,2022-08-12,23.75,23.75,23.75,23.75,0
NARMADA,2022-08-16,24.7,24.75,22.75,22.75,28800
NARMADA,2022-08-17,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-18,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-19,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-22,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-23,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-24,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-25,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-26,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-29,22.75,22.75,22.75,22.75,0
NARMADA,2022-08-30,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-01,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-02,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-05,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-06,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-07,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-08,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-09,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-12,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-13,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-14,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-15,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-16,22.75,22.75,22.75,22.75,0
NARMADA,2022-09-19,22.4,22.4,22.4,22.4,7200
NARMADA,2022-09-20,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-21,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-22,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-23,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-26,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-27,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-28,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-29,22.4,22.4,22.4,22.4,0
NARMADA,2022-09-30,22.4,22.4,22.4,22.4,0
NARMADA,2022-10-03,22.4,22.4,22.4,22.4,0
NARMADA,2022-10-04,22.4,22.4,22.4,22.4,0
NARMADA,2022-10-06,23.45,23.45,23.45,23.45,7200
NARMADA,2022-10-07,23.45,23.45,23.45,23.45,0
NARMADA,2022-10-10,23.45,23.45,23.45,23.45,0
NARMADA,2022-10-11,22.3,22.3,22.3,22.3,50400
NARMADA,2022-10-12,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-13,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-14,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-17,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-18,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-19,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-20,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-21,22.3,22.3,22.3,22.3,0
NARMADA,2022-10-24,23.4,23.4,23.4,23.4,43200
NARMADA,2022-10-25,24.55,24.55,24.55,24.55,93600
NARMADA,2022-10-27,25.75,25.75,25.75,25.75,31900
NARMADA,2022-10-28,27.0,27.0,24.65,25.35,156020
NARMADA,2022-10-31,26.6,26.6,25.15,26.4,51322
NARMADA,2022-11-01,27.0,27.0,25.1,25.1,32077
NARMADA,2022-11-02,24.2,24.2,23.85,23.85,7065
NARMADA,2022-11-03,24.0,25.0,22.7,25.0,25529
NARMADA,2022-11-04,26.0,26.25,24.1,24.55,19489
NARMADA,2022-11-07,25.0,25.75,23.55,24.45,24903
NARMADA,2022-11-09,24.45,25.55,24.05,24.9,19823
NARMADA,2022-11-10,24.4,25.0,24.4,24.75,5018
NARMADA,2022-11-11,24.3,25.45,23.55,23.65,19121
NARMADA,2022-11-14,24.5,24.5,23.05,23.55,5493
NARMADA,2022-11-15,22.95,24.05,22.6,23.7,5879
NARMADA,2022-11-16,23.7,23.95,22.55,22.6,33420
NARMADA,2022-11-17,22.6,23.7,21.6,23.25,6017
NARMADA,2022-11-18,23.95,23.95,22.1,22.55,5696
NARMADA,2022-11-21,23.0,23.65,22.05,23.15,6109
NARMADA,2022-11-22,23.5,23.75,22.5,23.0,5988
NARMADA,2022-11-23,22.7,23.65,22.65,23.45,3221
NARMADA,2022-11-24,23.75,24.55,22.85,23.8,11295
NARMADA,2022-11-25,24.5,24.95,22.65,24.2,10729
NARMADA,2022-11-28,24.7,24.9,23.7,24.0,3880
NARMADA,2022-11-29,24.7,24.75,23.95,24.5,2731
NARMADA,2022-11-30,24.5,25.2,24.0,24.5,5174
NARMADA,2022-12-01,25.0,25.7,24.2,24.5,4585
NARMADA,2022-12-02,24.9,25.15,23.9,24.9,2396
NARMADA,2022-12-05,24.9,26.1,24.2,24.8,5919
NARMADA,2022-12-06,25.5,26.0,24.3,24.8,6204
NARMADA,2022-12-07,26.0,27.25,22.35,24.05,127982
NARMADA,2022-12-08,24.15,24.45,23.1,23.6,20191
NARMADA,2022-12-09,23.95,25.95,23.0,24.85,79621
NARMADA,2022-12-12,25.95,25.95,24.1,24.45,18089
NARMADA,2022-12-13,24.65,24.9,22.1,22.7,54810
NARMADA,2022-12-14,22.95,24.0,21.3,22.9,28878
NARMADA,2022-12-15,23.0,23.4,22.35,22.65,10127
NARMADA,2022-12-16,23.2,23.2,21.6,22.25,10822
NARMADA,2022-12-19,23.2,23.2,22.05,22.35,7129
NARMADA,2022-12-20,23.2,23.2,21.8,22.4,12586
NARMADA,2022-12-21,22.85,22.85,21.15,21.35,21963
NARMADA,2022-12-22,22.0,22.3,20.8,21.4,5987
NARMADA,2022-12-23,21.8,21.8,20.05,20.3,9202
NARMADA,2022-12-26,20.7,21.0,19.6,20.0,4984
NARMADA,2022-12-27,20.45,21.4,20.3,20.9,7725
NARMADA,2022-12-28,21.3,22.95,19.2,22.85,26225
NARMADA,2022-12-29,23.8,25.0,21.15,23.75,71767
NARMADA,2022-12-30,24.5,24.5,23.8,24.25,8505
NARMADA,2023-01-02,24.25,24.3,22.6,23.3,11482
NARMADA,2023-01-03,23.8,24.75,23.0,23.95,14731
NARMADA,2023-01-04,24.45,24.45,23.1,23.55,11553
NARMADA,2023-01-05,23.5,24.3,22.5,23.25,20243
NARMADA,2023-01-06,23.45,24.5,22.5,23.45,11769
NARMADA,2023-01-09,24.25,24.25,23.1,23.4,5305
NARMADA,2023-01-10,23.7,23.7,22.55,23.25,9540
NARMADA,2023-01-11,23.7,23.85,21.95,22.7,14064
NARMADA,2023-01-12,22.95,24.0,22.75,23.05,9571
NARMADA,2023-01-13,23.3,23.75,22.8,23.2,8476
NARMADA,2023-01-16,23.55,23.95,22.3,22.45,12081
NARMADA,2023-01-17,23.5,24.0,22.5,23.2,14664
NARMADA,2023-01-18,23.2,24.05,23.2,23.8,4207
NARMADA,2023-01-19,23.55,24.0,23.15,23.35,17847
NARMADA,2023-01-20,23.35,23.75,23.1,23.15,13868
NARMADA,2023-01-23,23.25,23.4,22.05,22.3,15832
NARMADA,2023-01-24,22.25,22.75,21.6,22.4,4605
NARMADA,2023-01-25,22.7,22.7,21.2,22.55,6482
NARMADA,2023-01-27,22.75,22.75,20.65,21.55,8336
NARMADA,2023-01-30,21.85,23.3,21.0,22.9,10853
NARMADA,2023-01-31,23.25,23.55,22.0,22.35,17216
NARMADA,2023-02-01,22.35,22.85,21.5,21.5,7823
NARMADA,2023-02-02,21.5,22.45,19.35,19.6,42107
NARMADA,2023-02-03,19.75,21.5,19.75,20.65,27824
NARMADA,2023-02-06,21.5,22.5,20.5,20.8,14523
NARMADA,2023-02-07,21.2,24.95,20.55,22.8,135035
NARMADA,2023-02-08,23.0,23.7,21.6,21.95,35578
NARMADA,2023-02-09,21.95,26.3,20.2,26.2,309493
NARMADA,2023-02-10,27.0,31.3,26.2,27.35,1012596
NARMADA,2023-02-13,28.8,28.85,25.85,26.1,97190
NARMADA,2023-02-14,26.0,26.0,22.75,23.25,122541
NARMADA,2023-02-15,23.25,24.4,23.0,23.1,28250
NARMADA,2023-02-16,23.75,26.15,22.75,24.5,156175
NARMADA,2023-02-17,26.1,26.1,23.95,24.25,61344
NARMADA,2023-02-20,25.2,25.2,23.05,23.2,44685
NARMADA,2023-02-21,23.85,25.0,23.15,24.15,41148
NARMADA,2023-02-22,24.65,24.65,23.65,23.7,20086
NARMADA,2023-02-23,24.5,24.5,21.8,22.7,18043
NARMADA,2023-02-24,23.0,24.0,22.75,23.05,16532
NARMADA,2023-02-27,23.05,24.0,22.7,22.7,10630
NARMADA,2023-02-28,22.7,23.45,22.65,22.65,18459
NARMADA,2023-03-01,22.65,23.4,22.2,22.5,17477
NARMADA,2023-03-02,22.5,23.0,22.35,22.8,9287
NARMADA,2023-03-03,22.8,22.95,21.5,22.35,14952
NARMADA,2023-03-06,22.75,22.75,21.9,22.2,13776
NARMADA,2023-03-08,22.2,22.6,21.5,22.3,4710
NARMADA,2023-03-09,22.65,22.65,21.75,21.95,3867
NARMADA,2023-03-10,22.25,22.9,20.75,21.15,24051
NARMADA,2023-03-13,21.45,24.0,21.0,22.1,22103
NARMADA,2023-03-14,22.5,22.5,21.05,21.4,7125
NARMADA,2023-03-15,21.55,22.0,21.2,21.3,5133
NARMADA,2023-03-16,21.25,21.5,19.5,19.95,33937
NARMADA,2023-03-17,20.0,20.7,19.8,20.25,11404
NARMADA,2023-03-20,19.8,20.65,19.5,19.95,6662
NARMADA,2023-03-21,20.15,20.35,19.8,19.9,609
NARMADA,2023-03-22,20.45,20.5,19.85,20.05,3864
NARMADA,2023-03-23,19.75,20.25,18.5,19.15,13796
NARMADA,2023-03-24,19.55,20.3,18.5,18.8,5757
NARMADA,2023-03-27,19.0,19.5,18.45,19.05,9775
NARMADA,2023-03-28,19.5,19.65,18.35,18.9,8097
NARMADA,2023-03-29,18.8,19.5,18.8,19.15,1160
NARMADA,2023-03-31,18.75,22.95,18.7,22.95,108016
NARMADA,2023-04-03,25.85,26.3,21.4,25.05,212641
NARMADA,2023-04-05,30.05,30.05,25.5,26.4,972511
NARMADA,2023-04-06,26.0,26.0,23.55,24.3,164266
NARMADA,2023-04-10,24.3,24.3,20.05,21.25,236043
NARMADA,2023-04-11,22.4,24.45,21.8,22.8,195808
NARMADA,2023-04-12,23.3,24.0,21.8,22.35,91952
NARMADA,2023-04-13,22.05,22.75,22.05,22.4,18014
NARMADA,2023-04-17,22.4,22.9,21.9,22.05,14233
NARMADA,2023-04-18,22.05,22.15,20.65,21.3,50628
NARMADA,2023-04-19,21.75,22.1,21.0,21.25,37137
NARMADA,2023-04-20,21.85,22.1,21.2,21.65,31120
NARMADA,2023-04-21,22.0,22.0,21.0,21.15,26873
NARMADA,2023-04-24,21.75,21.75,21.2,21.4,13993
NARMADA,2023-04-25,21.1,21.75,21.05,21.3,30653
NARMADA,2023-04-26,21.7,21.9,21.1,21.5,29416
NARMADA,2023-04-27,21.5,22.25,21.2,21.4,42170
NARMADA,2023-04-28,21.25,21.7,21.05,21.55,27071
NARMADA,2023-05-02,22.0,22.0,21.2,21.3,13813
NARMADA,2023-05-03,21.35,22.0,21.1,21.45,17714
NARMADA,2023-05-04,21.6,21.8,21.25,21.4,5960
NARMADA,2023-05-05,21.4,21.6,21.15,21.25,10600
NARMADA,2023-05-08,21.25,21.7,21.2,21.45,19504
NARMADA,2023-05-09,21.3,21.6,21.2,21.3,8206
NARMADA,2023-05-10,21.15,21.45,20.65,21.15,11455
NARMADA,2023-05-11,21.5,21.5,20.25,20.7,19040
NARMADA,2023-05-12,21.0,21.2,20.5,20.9,6885
NARMADA,2023-05-15,21.0,21.05,20.2,20.5,14526
NARMADA,2023-05-16,20.85,20.85,20.1,20.25,11557
NARMADA,2023-05-17,20.7,20.7,20.1,20.25,6687
NARMADA,2023-05-18,20.15,20.7,20.15,20.55,9447
NARMADA,2023-05-19,20.7,20.8,19.05,20.25,13895
NARMADA,2023-05-22,20.3,20.6,19.3,20.1,8904
NARMADA,2023-05-23,20.5,20.5,19.6,19.95,8881
NARMADA,2023-05-24,19.95,20.45,19.65,19.75,6337
NARMADA,2023-05-25,20.45,20.45,19.75,20.3,4657
NARMADA,2023-05-26,20.5,20.75,20.0,20.45,14793
NARMADA,2023-05-29,20.75,20.75,20.0,20.35,5134
NARMADA,2023-05-30,22.4,22.4,19.8,20.05,28299
NARMADA,2023-05-31,20.45,22.4,19.45,20.3,16568
NARMADA,2023-06-01,20.05,20.5,20.05,20.15,11260
NARMADA,2023-06-02,20.15,20.65,19.5,20.15,14340
NARMADA,2023-06-05,20.15,21.0,19.65,20.25,14206
NARMADA,2023-06-06,20.3,20.5,20.0,20.2,4559
NARMADA,2023-06-07,20.0,20.45,19.8,20.05,15599
NARMADA,2023-06-08,19.75,20.5,19.65,20.25,8013
NARMADA,2023-06-09,20.0,20.2,19.65,19.95,11840
NARMADA,2023-06-12,20.25,20.6,19.95,20.3,23681
NARMADA,2023-06-13,21.35,21.35,20.2,20.35,17702
NARMADA,2023-06-14,20.0,20.6,20.0,20.3,7615
NARMADA,2023-06-15,20.75,20.9,20.0,20.15,6494
NARMADA,2023-06-16,20.4,20.6,19.8,20.3,11273
NARMADA,2023-06-19,20.2,20.4,19.8,20.0,11893
NARMADA,2023-06-20,20.0,20.4,19.75,19.9,10636
NARMADA,2023-06-21,20.2,20.35,19.9,19.95,3996
NARMADA,2023-06-22,20.25,21.9,19.25,20.2,23616
NARMADA,2023-06-23,19.8,20.2,19.55,19.75,20228
NARMADA,2023-06-26,19.55,20.3,19.55,19.85,3560
NARMADA,2023-06-27,19.9,20.2,19.85,19.95,7182
NARMADA,2023-06-28,20.5,20.5,19.55,19.75,8044
NARMADA,2023-06-30,20.2,20.4,19.8,19.95,10463
NARMADA,2023-07-03,19.95,20.2,19.6,19.95,4749
NARMADA,2023-07-04,19.75,20.2,19.6,19.75,13095
NARMADA,2023-07-05,20.2,20.85,19.3,19.6,44585
NARMADA,2023-07-06,19.6,23.5,19.6,21.9,1252048
NARMADA,2023-07-07,22.3,22.55,21.5,21.95,98432
NARMADA,2023-07-10,21.55,22.15,20.35,20.55,87198
NARMADA,2023-07-11,20.15,21.0,20.15,20.55,26302
NARMADA,2023-07-12,20.6,21.0,19.8,19.85,60541
NARMADA,2023-07-13,20.4,21.0,19.35,19.6,64430
